Spalte 1,Spalte 2,Spalte 3,Spalte 4,Spalte 5,Spalte 6,Spalte 7,Spalte 8,Spalte 9,Spalte 10
192.4742669956423,44.9063965486145,771.1973534789098,873.3807355241023,110.92368329365587,906.9530346334494,607.1088336446438,681.6432856011265,684.6827186404405,767.3948979184594
608.3740723178919,236.90332415061332,893.8302026831898,916.2165148710903,953.2139920863856,725.5264853843368,390.16500328135396,238.12397406059083,654.8134866292964,260.83858926529126
280.8287560935731,645.5441206034246,175.66569384958453,252.59003313485474,701.8432105949144,342.5544386543073,373.65879651913457,130.11663464460733,828.8810910466387,544.8724371024774
441.557294710911,326.9204152253883,417.91480153064407,844.0020459568223,307.1970388045935,441.0848865525363,417.0094988590708,405.72289094682213,738.761153001228,679.5535151716515
71.58247834483112,338.18645330033195,939.841021308812,940.7379308632915,288.05180006817454,512.8185683683813,911.7660966108638,217.17176407890304,626.5944307555911,277.9596548402361
232.6899230323929,783.8410451809278,450.1571655422296,327.02229846398234,528.5331181148739,945.0980729957636,294.588816093461,17.265120397193414,295.8606991904562,681.0046640904908
212.73638596735367,523.1483857494017,365.9474439074742,445.19695207801277,914.9526226136088,7.685979919961894,32.899286779226486,452.9333416895884,39.472288053692516,675.5162818283385
121.32383688970671,199.17103907273437,52.610117195391105,315.68183343981605,192.7020825130532,700.8113388792236,425.80034593365576,202.34027724449132,347.4404751572817,944.9876737762249
894.9729855240261,3.293047148537398,689.1548112445225,711.2769180978275,731.6930335989251,210.47666279439025,911.3103298698372,880.2862270228625,338.55923734235773,630.1639362237411
712.5245380603876,243.57248501459983,478.24370457937346,630.6301025200653,495.9819977784736,284.27884554633977,260.9399987880685,924.3662484450742,825.40404697406,968.7247356625682
